Name,Year,Runtime,Rate,Votes
Million Dollar Baby,2004,2h 12m,8.1, (772K)
Ratatouille,2007,1h 51m,8.1, (961K)
Children of Heaven,1997,1h 29m,8.2, (91K)
My Neighbor Totoro,1988,1h 26m,8.1, (438K)
Gran Torino,2008,1h 56m,8.1, (868K)
Raging Bull,1980,2h 9m,8.1, (413K)
12 Years a Slave,2013,2h 14m,8.1, (793K)
How to Train Your Dragon,2010,1h 38m,8.1, (906K)
Memories of Murder,2003,2h 11m,8.1, (273K)
The Grand Budapest Hotel,2014,1h 39m,8.1, (984K)
Before Sunrise,1995,1h 41m,8.1, (383K)
Blade Runner,1982,1h 57m,8.1, (889K)
"Monsters, Inc.",2001,1h 32m,8.1, (1.1M)
Gone Girl,2014,2h 29m,8.1, (1.2M)
Ford v Ferrari,2019,2h 32m,8.1, (583K)
Jaws,1975,2h 4m,8.1, (747K)
In the Name of the Father,1993,2h 13m,8.1, (204K)
Spider-Man: No Way Home,2021,2h 28m,8.1, (1.1M)
Wild Tales,2014,2h 2m,8.1, (241K)
The Gold Rush,1925,1h 35m,8.1, (129K)
Chainsaw Man - The Movie: Reze Arc,2025,1h 40m,8.3, (66K)
Sherlock Jr.,1924,45m,8.1, (67K)
Mary and Max,2009,1h 32m,8.1, (203K)
A Silent Voice: The Movie,2016,2h 10m,8.2, (148K)
The Wages of Fear,1953,2h 36m,8.1, (74K)
The Deer Hunter,1978,3h 3m,8.1, (389K)
Logan,2017,2h 17m,8.1, (937K)
Rocky,1976,2h,8.1, (699K)
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1, (1.3M)
The General,1926,1h 18m,8.1, (106K)
Mr. Smith Goes to Washington,1939,2h 9m,8.1, (130K)
Tokyo Story,1953,2h 17m,8.1, (79K)
La haine,1995,1h 38m,8.1, (230K)
Spotlight,2015,2h 9m,8.1, (540K)
Jai Bhim,2021,2h 44m,8.6, (236K)
The Sound of Music,1965,2h 54m,8.1, (294K)
Maharaja,2024,2h 21m,8.3, (85K)
The Terminator,1984,1h 47m,8.1, (1M)
Wild Strawberries,1957,1h 32m,8.1, (125K)
On the Waterfront,1954,1h 48m,8.1, (180K)
The Best Years of Our Lives,1946,2h 50m,8.1, (77K)
The Chaos Class Failed the Class,1975,1h 35m,8.4, (31K)
The Third Man,1949,1h 44m,8.1, (197K)
The Big Lebowski,1998,1h 57m,8.1, (923K)
The Incredibles,2004,1h 55m,8.0, (914K)
Before Sunset,2004,1h 20m,8.1, (319K)
Hachi: A Dog's Tale,2009,1h 33m,8.1, (347K)
Room,2015,1h 58m,8.1, (484K)
Hotel Rwanda,2004,2h 1m,8.1, (394K)
The Exorcist,1973,2h 2m,8.1, (503K)
The Seventh Seal,1957,1h 36m,8.1, (217K)
Platoon,1986,2h,8.0, (476K)
The Iron Giant,1999,1h 26m,8.1, (264K)
Rush,2013,2h 3m,8.1, (565K)
Stand by Me,1986,1h 29m,8.1, (493K)
The Wizard of Oz,1939,1h 42m,8.1, (472K)
The Battle of Algiers,1966,2h 1m,8.1, (77K)
My Father and My Son,2005,1h 52m,8.2, (102K)
The Passion of Joan of Arc,1928,1h 54m,8.1, (69K)
The Handmaiden,2016,2h 25m,8.1, (207K)
Autumn Sonata,1978,1h 39m,8.1, (43K)
