Name,Year,Runtime,Rate,Votes
The Grand Budapest Hotel,2014,99,8.1,984000.0
Before Sunrise,1995,101,8.1,383000.0
Blade Runner,1982,117,8.1,889000.0
"Monsters, Inc.",2001,92,8.1,1100000.0
Gone Girl,2014,149,8.1,1200000.0
Ford v Ferrari,2019,152,8.1,583000.0
Jaws,1975,124,8.1,747000.0
In the Name of the Father,1993,133,8.1,204000.0
Spider-Man: No Way Home,2021,148,8.1,1100000.0
Wild Tales,2014,122,8.1,241000.0
The Gold Rush,1925,95,8.1,129000.0
Chainsaw Man - The Movie: Reze Arc,2025,100,8.3,66000.0
Sherlock Jr.,1924,45,8.1,67000.0
Mary and Max,2009,92,8.1,203000.0
A Silent Voice: The Movie,2016,130,8.2,148000.0
The Wages of Fear,1953,156,8.1,74000.0
The Deer Hunter,1978,183,8.1,389000.0
Logan,2017,137,8.1,937000.0
Rocky,1976,120,8.1,699000.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,1300000.0
The General,1926,78,8.1,106000.0
Mr. Smith Goes to Washington,1939,129,8.1,130000.0
Tokyo Story,1953,137,8.1,79000.0
La haine,1995,98,8.1,230000.0
Spotlight,2015,129,8.1,540000.0
Jai Bhim,2021,164,8.6,236000.0
The Sound of Music,1965,174,8.1,294000.0
Maharaja,2024,141,8.3,85000.0
The Terminator,1984,107,8.1,1000000.0
Wild Strawberries,1957,92,8.1,125000.0
On the Waterfront,1954,108,8.1,180000.0
The Best Years of Our Lives,1946,170,8.1,77000.0
The Chaos Class Failed the Class,1975,95,8.4,31000.0
The Third Man,1949,104,8.1,197000.0
The Big Lebowski,1998,117,8.1,923000.0
The Incredibles,2004,115,8.0,914000.0
Before Sunset,2004,80,8.1,319000.0
Hachi: A Dog's Tale,2009,93,8.1,347000.0
Room,2015,118,8.1,484000.0
Hotel Rwanda,2004,121,8.1,394000.0
The Exorcist,1973,122,8.1,503000.0
The Seventh Seal,1957,96,8.1,217000.0
Platoon,1986,120,8.0,476000.0
The Iron Giant,1999,86,8.1,264000.0
Rush,2013,123,8.1,565000.0
Stand by Me,1986,89,8.1,493000.0
The Wizard of Oz,1939,102,8.1,472000.0
The Battle of Algiers,1966,121,8.1,77000.0
My Father and My Son,2005,112,8.2,102000.0
The Passion of Joan of Arc,1928,114,8.1,69000.0
The Handmaiden,2016,145,8.1,207000.0
Autumn Sonata,1978,99,8.1,43000.0
